Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
2020-02-19,10143.79883,10191.67578,9611.223633,9633.386719,9633.386719,46992019710.0,31627,183930550000.0,0.25548784102079947
2020-02-20,9629.325195,9643.216797,9507.900391,9608.475586,9608.475586,44925260237.0,26789,175204100000.0,0.25641670849574716
2020-02-21,9611.782227,9723.014648,9589.743164,9686.441406,9686.441406,40930547513.0,23685,176614200000.0,0.23175117643658125
2020-02-22,9687.707031,9698.231445,9600.728516,9663.181641,9663.181641,35838025154.0,24088,176226780000.0,0.20336310593489662
2020-02-23,9663.318359,9937.404297,9657.791016,9924.515625,9924.515625,41185185761.0,25803,179596480000.0,0.22932067812735143
2020-02-24,9921.583008,9951.746094,9537.042969,9650.174805,9650.174805,45080496648.0,28829,177887040000.0,0.2534220470235988
2020-02-25,9651.3125,9652.737305,9305.021484,9341.705078,9341.705078,42515259129.0,27251,173626820000.0,0.24486573837847553
2020-02-26,9338.290039,9354.77832,8704.426758,8820.522461,8820.522461,50420050762.0,27388,165329810000.0,0.30496647696744744
2020-02-27,8825.09375,8932.892578,8577.199219,8784.494141,8784.494141,45470195695.0,25882,160576630000.0,0.2831681939840138
2020-02-28,8788.728516,8890.456055,8492.932617,8672.455078,8672.455078,44605450443.0,25289,158830120000.0,0.28083748424861954
2020-02-29,8671.212891,8775.631836,8599.508789,8599.508789,8599.508789,35792392544.0,22884,158545050000.0,0.225755343178202
2020-03-01,8599.758789,8726.796875,8471.212891,8562.454102,8562.454102,35349164300.0,22847,156417670000.0,0.22599214037673096
2020-03-02,8563.264648,8921.308594,8532.630859,8869.669922,8869.669922,42857674409.0,25876,159748030000.0,0.26828295963660215
2020-03-03,8865.387695,8901.598633,8704.990234,8787.786133,8787.786133,42386715821.0,25782,160437900000.0,0.26419391613568244
2020-03-04,8788.541992,8843.366211,8712.431641,8755.246094,8755.246094,34746706368.0,27221,160026130000.0,0.21713145115434587
2020-03-05,8760.285156,9142.054688,8757.253906,9078.762695,9078.762695,39698054597.0,26232,164739020000.0,0.24097541621105925
2020-03-06,9078.308594,9167.695313,9032.079102,9122.545898,9122.545898,40826885651.0,22285,166124290000.0,0.24576108430141955
2020-03-07,9121.600586,9163.220703,8890.744141,8909.954102,8909.954102,36216930370.0,19205,165242670000.0,0.2191742061888084
2020-03-08,8908.206055,8914.34375,8105.25293,8108.116211,8108.116211,39973102121.0,19627,156832630000.0,0.25487746040581677
2020-03-09,8111.146484,8177.793457,7690.098145,7923.644531,7923.644531,46936995808.0,31167,144019880000.0,0.32590636210363305
2020-03-10,7922.146973,8136.945313,7814.763184,7909.729492,7909.729492,42213940994.0,24544,145333500000.0,0.29046255974718205
2020-03-11,7910.089844,7950.814453,7642.8125,7911.430176,7911.430176,38682762605.0,23550,143487390000.0,0.269589988299292
2020-03-12,7913.616211,7929.116211,4860.354004,4970.788086,4970.788086,53980357243.0,44735,122310710000.0,0.44133793162647783
2020-03-13,5017.831055,5838.114746,4106.980957,5563.707031,5563.707031,74156772075.0,43020,96428680000.0,0.7690323326507725
2020-03-14,5573.077637,5625.226563,5125.069336,5200.366211,5200.366211,36154506008.0,22922,98686840000.0,0.3663559113229859
2020-03-15,5201.066895,5836.64502,5169.283203,5392.314941,5392.314941,33997889639.0,22102,97143950000.0,0.349974348341094
2020-03-16,5385.229492,5385.229492,4575.35791,5014.47998,5014.47998,45368026430.0,27432,91458994000.0,0.49604772979129425
2020-03-17,5002.578125,5371.348633,4981.90918,5225.629395,5225.629395,38622642935.0,26159,94642730000.0,0.40808883775732707
2020-03-18,5227.11377,5331.833984,5069.335938,5238.438477,5238.438477,37878801016.0,26644,94703420000.0,0.39997289706309996
2020-03-19,5245.416504,6329.73584,5236.96875,6191.192871,6191.192871,51000731797.0,29033,103589860000.0,0.4923332275113706
2020-03-20,6191.653809,6844.261719,5865.781738,6198.77832,6198.77832,54442976103.0,28150,114939600000.0,0.473665957412374
2020-03-21,6206.521484,6378.135254,5932.823242,6185.066406,6185.066406,42494390880.0,25403,112740200000.0,0.37692315833230455
2020-03-22,6185.558105,6359.697266,5823.713867,5830.254883,5830.254883,40099664740.0,27844,112152600000.0,0.3575455632241585
2020-03-23,5831.374512,6443.93457,5785.004395,6416.314941,6416.314941,46491916000.0,28657,111469990000.0,0.41708009786627676
2020-03-24,6436.642578,6789.022949,6411.066406,6734.803711,6734.803711,48221910672.0,31076,121219360000.0,0.39780701021019227
2020-03-25,6738.716797,6892.51123,6536.92627,6681.062988,6681.062988,44590107888.0,26878,121751020000.0,0.36624011908725906
2020-03-26,6675.170898,6735.463867,6590.962891,6716.44043,6716.44043,35319797642.0,24772,121908440000.0,0.28972398066524135
2020-03-27,6719.38916,6793.836426,6466.70166,6469.79834,6469.79834,34585598367.0,24128,122268060000.0,0.2828669976924537
2020-03-28,6467.253906,6467.500977,6117.837891,6242.193848,6242.193848,34885225901.0,20983,113923710000.0,0.3062156736480361
2020-03-29,6245.624512,6250.467285,5920.085938,5922.042969,5922.042969,28373690931.0,22187,112031244000.0,0.2532658733849231
2020-03-30,5925.538574,6517.195801,5903.234375,6429.841797,6429.841797,37101651525.0,24425,114642690000.0,0.32362858468748273
2020-03-31,6430.606445,6504.515137,6374.162109,6438.644531,6438.644531,32786468812.0,24944,118045180000.0,0.27774508742045656
2020-04-01,6437.319336,6612.57373,6202.373535,6606.776367,6606.776367,40346426266.0,27700,115548110000.0,0.3491742614388087
2020-04-02,6606.776367,7088.247559,6595.918457,6793.624512,6793.624512,47660646124.0,29947,123028670000.0,0.3873946352312278
2020-04-03,6797.396484,7003.220703,6673.335938,6733.387207,6733.387207,38976504903.0,33185,124869984000.0,0.31213670070697697
2020-04-04,6738.382813,6878.953613,6696.484863,6867.527344,6867.527344,33185988584.0,28502,123990560000.0,0.26764932326087526
2020-04-05,6862.537598,6883.414063,6715.929199,6791.129395,6791.129395,29510409856.0,25533,124467740000.0,0.2370928378443572
2020-04-06,6788.049805,7271.78125,6782.889648,7271.78125,7271.78125,46896904615.0,32118,129663300000.0,0.36168216668872094
2020-04-07,7273.644043,7427.939453,7136.714355,7176.414551,7176.414551,44243482668.0,32171,133856610000.0,0.33052893872362726
2020-04-08,7179.283203,7356.223633,7153.305664,7334.098633,7334.098633,37563249549.0,30033,133311790000.0,0.28176989625543275
2020-04-09,7337.966309,7341.448242,7179.094238,7302.089355,7302.089355,34815139178.0,29133,133447860000.0,0.2608894524015654
2020-04-10,7303.81543,7303.81543,6802.475098,6865.493164,6865.493164,43622840992.0,28128,127854790000.0,0.34119051360482616
2020-04-11,6867.44043,6926.069824,6789.920898,6859.083008,6859.083008,31222085946.0,22432,125409030000.0,0.24896203191985417
2020-04-12,6858.067871,7119.947266,6811.078125,6971.091797,6971.091797,35759567632.0,23749,127261200000.0,0.2809934895714313
2020-04-13,6965.616699,6965.616699,6668.259766,6845.037598,6845.037598,38619308647.0,26814,123592090000.0,0.31247395178760695
2020-04-14,6843.281738,6958.557129,6793.821289,6842.427734,6842.427734,34110434052.0,31671,125965255000.0,0.2707924033905428
2020-04-15,6845.561523,6928.664551,6633.402832,6642.109863,6642.109863,32288311031.0,28889,124502730000.0,0.25933817970981266
2020-04-16,6640.454102,7134.450684,6555.504395,7116.804199,7116.804199,46783242377.0,30583,126338640000.0,0.37030035452948973
2020-04-17,7116.55,7167.18,7050.33,7096.18,7096.18,32513423567.0,28790,129673740000.0,0.2507325191267641
2020-04-18,7092.291504,7269.956543,7089.24707,7257.665039,7257.665039,32447188386.0,25279,130700180000.0,0.2482566436604908
2020-04-19,7260.922363,7280.521973,7167.054688,7189.424805,7189.424805,31311210215.0,25819,131227370000.0,0.23860274225553899
2020-04-20,7186.873535,7240.290527,6835.50293,6881.958496,6881.958496,37747113936.0,34822,129226350000.0,0.2921007500643356
2020-04-21,6879.78418,6934.551758,6834.442383,6880.323242,6880.323242,32589741511.0,32492,125851560000.0,0.2589538187521113
2020-04-22,6879.44043,7145.865723,6867.781738,7117.20752,7117.20752,33249153866.0,30981,128131950000.0,0.25949151826550404
2020-04-23,7121.306152,7491.785156,7081.594727,7429.724609,7429.724609,43500782316.0,35498,133374580000.0,0.3261549645216096
2020-04-24,7434.181641,7574.195801,7434.181641,7550.900879,7550.900879,34636526286.0,32567,137925180000.0,0.2511254719724079
2020-04-25,7550.48291,7641.36377,7521.672363,7569.936035,7569.936035,32941541447.0,33355,138333770000.0,0.23813088074701996
2020-04-26,7570.13916,7700.594238,7561.407715,7679.867188,7679.867188,33070154491.0,33495,139133160000.0,0.2376870841910793
2020-04-27,7679.418945,7795.601074,7679.418945,7795.601074,7795.601074,36162144725.0,39379,141375060000.0,0.25578870989925634
2020-04-28,7796.970215,7814.527344,7730.806641,7807.058594,7807.058594,33187959921.0,41546,141779420000.0,0.23408164685147212
2020-04-29,7806.712402,8871.753906,7786.049316,8801.038086,8801.038086,60201052203.0,48269,150462700000.0,0.4001061715182785
2020-04-30,8797.669922,9440.650391,8533.255859,8658.553711,8658.553711,66964629541.0,50532,163040940000.0,0.41072279888828817
2020-05-01,8672.782227,9048.023438,8667.763672,8864.766602,8864.766602,44068389997.0,40443,161113600000.0,0.2735237054888408
2020-05-02,8869.057617,9007.1875,8811.366211,8988.59668,8988.59668,40134388683.0,42783,162546430000.0,0.24691029931267705
2020-05-03,8983.614258,9167.78125,8830.97168,8897.46875,8897.46875,47101785174.0,43879,164735810000.0,0.2859231682601233
2020-05-04,8895.745117,8956.90625,8645.024414,8912.654297,8912.654297,45718796276.0,43373,161218080000.0,0.2835835465640679
2020-05-05,8912.832031,9062.415039,8856.827148,9003.070313,9003.070313,43148462663.0,50889,163509190000.0,0.26389013663322575
2020-05-06,9007.441406,9411.467773,8966.706055,9268.761719,9268.761719,49371886931.0,55866,167297580000.0,0.29511417092440567
2020-05-07,9261.895508,9992.664063,9138.322266,9951.518555,9951.518555,61112700562.0,59654,173480600000.0,0.3522739593590895
2020-05-08,9936.162109,9996.743164,9767.172852,9842.666016,9842.666016,51780748042.0,53749,182174560000.0,0.28423698020733884
2020-05-09,9840.90625,9913.863281,9580.644531,9593.896484,9593.896484,46566121841.0,42273,178637000000.0,0.26067456755995755
2020-05-10,9591.168945,9595.581055,8395.107422,8756.430664,8756.430664,63325279337.0,41923,159784670000.0,0.3963163755553398
2020-05-11,8755.535156,9033.470703,8374.323242,8601.795898,8601.795898,57119858802.0,82838,159944230000.0,0.3571235999428827
2020-05-12,8610.385742,8949.898438,8569.643555,8804.477539,8804.477539,42142717533.0,60453,161241370000.0,0.261364179927623
2020-05-13,8805.387695,9317.878906,8805.387695,9269.987305,9269.987305,45558144023.0,46507,166113050000.0,0.27425987212842
2020-05-14,9271.329102,9793.268555,9255.035156,9733.72168,9733.72168,56426907637.0,48588,175016510000.0,0.32240905625160204
2020-05-15,9734.291016,9755.828125,9261.398438,9328.197266,9328.197266,48158802327.0,38102,174945960000.0,0.27527816215143125
2020-05-16,9333.240234,9564.205078,9260.694336,9377.013672,9377.013672,36164766408.0,40293,172895670000.0,0.2091710405926884
2020-05-17,9374.929688,9823.001953,9349.545898,9670.739258,9670.739258,40084250663.0,33797,176865850000.0,0.22663645855528686
2020-05-18,9675.695313,9906.030273,9570.359375,9726.575195,9726.575195,41827139896.0,38987,178812350000.0,0.23391638681188004
2020-05-19,9727.063477,9836.047852,9539.624023,9729.038086,9729.038086,39254288955.0,31927,177926600000.0,0.2206206848658485
2020-05-20,9725.329102,9804.793945,9447.201172,9522.981445,9522.981445,36546239703.0,33468,177882660000.0,0.2054513887159659
2020-05-21,9522.740234,9555.242188,8869.930664,9081.761719,9081.761719,39326160532.0,36198,171002000000.0,0.22997485255849
2020-05-22,9080.334961,9232.936523,9008.638672,9182.577148,9182.577148,29810773699.0,46283,167977420000.0,0.17746893553003273
2020-05-23,9185.0625,9302.501953,9118.108398,9209.287109,9209.287109,27727866812.0,27771,169436890000.0,0.16364716657184994
2020-05-24,9212.283203,9288.404297,8787.250977,8790.368164,8790.368164,32518803300.0,30235,168022840000.0,0.19353799893503998
2020-05-25,8786.107422,8951.005859,8719.667969,8906.93457,8906.93457,31288157264.0,34450,162333430000.0,0.1927400788594252
2020-05-26,8909.585938,8991.967773,8757.293945,8835.052734,8835.052734,29584186947.0,30190,163115370000.0,0.1813697092339354
2020-05-27,8837.380859,9203.320313,8834.157227,9181.017578,9181.017578,32740536902.0,34046,166084740000.0,0.19713151903623446
2020-05-28,9184.945313,9546.319336,9148.457031,9525.750977,9525.750977,34367073114.0,38537,171385600000.0,0.20052485566655015
2020-05-29,9528.355469,9573.666992,9379.338867,9439.124023,9439.124023,32896642044.0,34052,174017950000.0,0.189041655341613
2020-05-30,9438.914063,9704.030273,9366.729492,9700.414063,9700.414063,32722975141.0,29372,174892840000.0,0.1871029973450839
2020-05-31,9700.105469,9700.34375,9432.296875,9461.058594,9461.058594,27773290299.0,28806,175775800000.0,0.15800406757364696
2020-06-01,9463.605469,10199.56543,9450.899414,10167.26856,10167.26856,35198901068.0,34801,176204580000.0,0.19976155730184586
2020-06-02,10162.97363,10182.34082,9460.571289,9529.803711,9529.803711,39137252109.0,48257,181966800000.0,0.21507908232035242
2020-06-03,9533.760742,9682.859375,9471.84668,9656.717773,9656.717773,25007459262.0,32772,175860040000.0,0.14220091902347057
2020-06-04,9655.854492,9887.610352,9525.24707,9800.636719,9800.636719,25921805072.0,33808,178607540000.0,0.14513276055827293
2020-06-05,9800.21582,9869.237305,9663.216797,9665.533203,9665.533203,23509628646.0,31415,179546590000.0,0.13093887787570316
2020-06-06,9664.904297,9773.431641,9591.024414,9653.679688,9653.679688,20438419222.0,26066,177637300000.0,0.11505702858092084
2020-06-07,9653.00293,9768.498047,9458.150391,9758.852539,9758.852539,25015250846.0,26035,177434700000.0,0.14098285178367884
2020-06-08,9760.063477,9782.306641,9675.885742,9771.489258,9771.489258,21486346312.0,30802,179073070000.0,0.11998647219150618
2020-06-09,9774.360352,9836.369141,9664.719727,9795.700195,9795.700195,23717842783.0,33586,178829890000.0,0.13262795938522076
2020-06-10,9794.119141,9908.896484,9728.291016,9870.094727,9870.094727,25706567601.0,35740,180206300000.0,0.1426507666369264
2020-06-11,9870.078125,9938.297852,9263.069336,9321.78125,9321.78125,30247143440.0,34444,177736520000.0,0.17017968052662147
2020-06-12,9320.69043,9540.46582,9285.851563,9480.84375,9480.84375,22610564515.0,34530,173477410000.0,0.13033722455110547
2020-06-13,9480.735352,9493.211914,9396.009766,9475.277344,9475.277344,17564322315.0,30524,173808340000.0,0.10105569519090325
2020-06-14,9477.553711,9482.270508,9347.59375,9386.788086,9386.788086,18991732746.0,24592,173467370000.0,0.10948302729099449
2020-06-15,9386.035156,9504.860352,8990.175781,9450.702148,9450.702148,26699704768.0,28560,170461790000.0,0.15663161072883622
2020-06-16,9454.266602,9579.430664,9400.445313,9538.024414,9538.024414,21565537209.0,28992,174868960000.0,0.12332398962541943
2020-06-17,9533.78418,9540.422852,9327.339844,9480.254883,9480.254883,20177709879.0,23559,174176440000.0,0.11584638149933445
2020-06-18,9481.567383,9482.782227,9328.395508,9411.84082,9411.84082,17770083003.0,23904,173579760000.0,0.10237416288043667
2020-06-19,9410.293945,9440.875977,9274.295898,9288.018555,9288.018555,19632223107.0,29522,172236230000.0,0.1139842848342996
2020-06-20,9290.959961,9394.97168,9247.379883,9332.34082,9332.34082,17130541557.0,26154,171773970000.0,0.09972722711222894
2020-06-21,9330.926758,9401.107422,9300.430664,9303.629883,9303.629883,15324301169.0,26333,172519750000.0,0.08882635767656584
2020-06-22,9300.915039,9655.073242,9296.87207,9648.717773,9648.717773,21104009514.0,33399,174726630000.0,0.12078301880332852
2020-06-23,9644.076172,9670.541016,9547.24707,9629.658203,9629.658203,17006433272.0,34373,177672750000.0,0.09571773590692745
2020-06-24,9632.149414,9680.367188,9278.233398,9313.610352,9313.610352,18961716076.0,32446,174341460000.0,0.10876194638366178
2020-06-25,9314.126953,9340.161133,9095.324219,9264.813477,9264.813477,18616048626.0,31154,170534370000.0,0.10916302960530183
2020-06-26,9260.995117,9310.516602,9101.738281,9162.917969,9162.917969,18341465837.0,30758,169781070000.0,0.10803010063052933
2020-06-27,9167.824219,9207.810547,8998.216797,9045.390625,9045.390625,17273093144.0,28444,168388230000.0,0.10257898087169008
2020-06-28,9048.460938,9197.546875,8975.525391,9143.582031,9143.582031,14560870760.0,28965,167353530000.0,0.08700665321963585
2020-06-29,9140.029297,9237.573242,9041.875977,9190.854492,9190.854492,16460547078.0,32380,168521780000.0,0.09767608291451398
2020-06-30,9185.581055,9217.835938,9084.837891,9137.993164,9137.993164,15735797744.0,28895,169127760000.0,0.0930408948655427
2020-07-01,9145.985352,9309.754883,9104.735352,9228.325195,9228.325195,15971550355.0,26910,169903950000.0,0.09400340936195764
2020-07-02,9231.139648,9274.962891,9036.623047,9123.410156,9123.410156,16338916796.0,26683,169523430000.0,0.09638146689305446
2020-07-03,9124.842773,9202.344727,9058.794922,9087.303711,9087.303711,13078970999.0,25726,168105020000.0,0.07780238332943971
2020-07-04,9084.233398,9183.295898,9053.629883,9132.488281,9132.488281,12290528515.0,24368,168329820000.0,0.07301456363337075
2020-07-05,9126.09082,9162.183594,8977.015625,9073.942383,9073.942383,12903406143.0,20039,167849400000.0,0.07687490447222
2020-07-06,9072.849609,9375.474609,9058.664063,9375.474609,9375.474609,17889263252.0,27694,170319230000.0,0.10503372363988506
2020-07-07,9349.161133,9360.617188,9201.81543,9252.277344,9252.277344,13839652595.0,22547,171360490000.0,0.08076338348734814
2020-07-08,9253.020508,9450.335938,9249.5,9428.333008,9428.333008,19702359883.0,22723,172729580000.0,0.11406476935882344
2020-07-09,9427.994141,9431.378906,9234.999023,9277.967773,9277.967773,18000702524.0,24645,172528340000.0,0.10433475942477098
2020-07-10,9273.357422,9287.47168,9118.001953,9278.807617,9278.807617,16860035605.0,24965,170207260000.0,0.09905591061568947
2020-07-11,9277.511719,9293.532227,9199.485352,9240.34668,9240.34668,13249910444.0,22288,171018490000.0,0.07747648089104446
2020-07-12,9241.054688,9319.418945,9197.450195,9276.5,9276.5,14452361907.0,19664,171260500000.0,0.0843881830788852
2020-07-13,9277.205078,9306.405273,9224.292969,9243.614258,9243.614258,17519821266.0,25309,171717170000.0,0.10202719838920284
2020-07-14,9238.703125,9283.841797,9171.661133,9243.213867,9243.213867,18085038362.0,35940,170550410000.0,0.10603925389546928
2020-07-15,9241.897461,9275.325195,9171.933594,9192.836914,9192.836914,15844731575.0,54174,170661130000.0,0.09284323367852855
2020-07-16,9191.980469,9214.3125,9088.947266,9132.227539,9132.227539,15713967523.0,56131,169027040000.0,0.09296717976961098
2020-07-17,9131.8125,9182.253906,9089.202148,9151.392578,9151.392578,13944570749.0,24865,169035190000.0,0.08249507729403076
2020-07-18,9151.183594,9230.983398,9100.824219,9159.040039,9159.040039,12252601475.0,null,169623240000.0,0.07223421403899084
2020-07-19,9158.005859,9201.398438,9097.632813,9185.817383,9185.817383,12939002784.0,18893,169578840000.0,0.0763008095769304
2020-07-20,9187.220703,9214.270508,9137.509766,9164.231445,9164.231445,13755604146.0,24912,170000760000.0,0.08091495637242302
2020-07-21,9162.514648,9407.262695,9149.389648,9374.887695,9374.887695,18069581956.0,27374,172255540000.0,0.10489985756191104
2020-07-22,9375.080078,9530.518555,9319.65332,9525.363281,9525.363281,16532254884.0,25069,173270530000.0,0.09541296309311473
2020-07-23,9527.141602,9610.24707,9483.003906,9581.072266,9581.072266,18146399002.0,27632,176318190000.0,0.10291847635241072
2020-07-24,9585.514648,9623.336914,9481.454102,9536.892578,9536.892578,16552768325.0,27407,176385770000.0,0.09384412571688577
2020-07-25,9539.485352,9704.556641,9530.211914,9677.113281,9677.113281,16610070933.0,27808,177541480000.0,0.0935560010600729
2020-07-26,9680.234375,10023.80762,9652.847656,9905.166992,9905.166992,20507998997.0,30432,181412970000.0,0.11304593569538725
2020-07-27,9905.217773,11298.22168,9903.969727,10990.87305,10990.87305,35359749590.0,51139,192252000000.0,0.18392396004327236
2020-07-28,11017.46387,11204.32715,10632.63184,10912.82324,10912.82324,28766551142.0,45495,202681450000.0,0.14192986615994105
2020-07-29,10912.95313,11304.39746,10856.1416,11100.46777,11100.46777,24617249715.0,33785,204712150000.0,0.12025299835019573
2020-07-30,11099.83301,11169.35645,10895.45508,11111.21387,11111.21387,22857247901.0,32625,203642080000.0,0.1122422645509917
2020-07-31,11110.21094,11415.86426,10987.05371,11323.4668,11323.4668,23160469766.0,30055,206594400000.0,0.11210599443001927
2020-08-01,11322.57031,11794.77539,11239.68262,11759.59277,11759.59277,26075670303.0,39913,213912060000.0,0.12189901922641624
2020-08-02,11758.76465,12034.14453,11018.12988,11053.61426,11053.61426,27410067336.0,33109,209251730000.0,0.13099087598246667
2020-08-03,11043.76856,11453.0791,11012.41504,11246.34863,11246.34863,20271713443.0,29874,207715960000.0,0.09759343269373048
2020-08-04,11246.20313,11385.38184,11094.14551,11205.89258,11205.89258,21250197042.0,29318,207614440000.0,0.10235413626197407
2020-08-05,11203.82324,11786.61719,11158.28516,11747.02246,11747.02246,24411254471.0,38033,211489080000.0,0.1154256028361352
2020-08-06,11749.87109,11902.33594,11598.71387,11779.77344,11779.77344,23400740340.0,38775,216952800000.0,0.107860974473882
2020-08-07,11778.89453,11898.03809,11408.59375,11601.47266,11601.47266,23132312867.0,37514,216260230000.0,0.10696517220047662
2020-08-08,11604.55371,11800.06445,11558.43164,11754.0459,11754.0459,17572057837.0,29019,215602770000.0,0.08150200254703573
2020-08-09,11737.3252,11806.05664,11548.78418,11675.73926,11675.73926,17489608833.0,25986,215475850000.0,0.08116737473301999
2020-08-10,11662.25684,12045.14063,11662.25684,11878.11133,11878.11133,26114112569.0,35606,219537980000.0,0.11895031737884963
2020-08-11,11881.64746,11932.71094,11195.70898,11410.52539,11410.52539,27039782640.0,33567,214842880000.0,0.12585840463730505
2020-08-12,11404.59668,11748.39648,11249.60547,11584.93457,11584.93457,25064548486.0,35237,211641220000.0,0.1184294267126179
2020-08-13,11588.40527,11796.39648,11216.87207,11784.1377,11784.1377,27522199497.0,30485,213264910000.0,0.12905170249496983
2020-08-14,11772.65918,12150.99414,11685.45508,11768.87109,11768.87109,24237958589.0,38124,217013960000.0,0.11168847621771112
2020-08-15,11768.69727,11963.20313,11768.69727,11865.69824,11865.69824,23354924400.0,39156,219312900000.0,0.10649134003458573
2020-08-16,11866.68555,11934.90137,11737.18848,11892.80371,11892.80371,20583375490.0,29007,218863700000.0,0.09404654899655275
2020-08-17,11895.6582,12359.05664,11806.69629,12254.40234,12254.40234,28227687027.0,40655,222545400000.0,0.1268401304672686
2020-08-18,12251.89551,12335.70703,11954.52539,11991.2334,11991.2334,26043227672.0,38262,224718200000.0,0.11589283166637701
2020-08-19,11990.88477,12028.92383,11687.33301,11758.2832,11758.2832,24502851117.0,36164,217955700000.0,0.11242124658696877
2020-08-20,11761.5,11900.41113,11710.06348,11878.37207,11878.37207,20175242945.0,33256,217916440000.0,0.09258247285827767
